route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
428,NMBS/SNCB,IC,Liège-Saint-Lambert -- Tournai,,103,,,
429,NMBS/SNCB,IC,Liège-Saint-Lambert -- Ostende,,103,,,
43,NMBS/SNCB,BUS,Zottegem -- Courtrai,,700,,,
430,NMBS/SNCB,IC,Liège-Guillemins -- Ostende,,103,,,
431,NMBS/SNCB,L,Hasselt -- Louvain,,100,,,
432,NMBS/SNCB,L,Hasselt -- Aarschot,,100,,,
433,NMBS/SNCB,L,Diest -- Louvain,,100,,,
434,NMBS/SNCB,L,Begijnendijk -- Hasselt,,100,,,
435,NMBS/SNCB,IC,Bruxelles-Midi -- Dinant,,103,,,
436,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Dinant,,103,,,
437,NMBS/SNCB,IC,Ottignies -- Dinant,,103,,,
438,NMBS/SNCB,IC,Ottignies -- Bruxelles-Midi,,103,,,
439,NMBS/SNCB,IC,Bruxelles-Luxembourg -- Gembloux,,103,,,
44,NMBS/SNCB,BUS,Courtrai -- Menin,,700,,,
440,NMBS/SNCB,IC,Ottignies -- Namur,,103,,,
441,NMBS/SNCB,S32,Roosendaal (NL) -- Boom,,100,,,
442,NMBS/SNCB,S32,Roosendaal (NL) -- Anvers-Central,,100,,,
443,NMBS/SNCB,S32,Anvers-Central -- Kapellen,,100,,,
444,NMBS/SNCB,S32,Roosendaal (NL) -- Puurs,,100,,,
445,NMBS/SNCB,S32,Roosendaal (NL) -- Anvers-Berchem,,100,,,
446,NMBS/SNCB,S32,Anvers-Noorderdokken -- Puurs,,100,,,
447,NMBS/SNCB,S32,Roosendaal (NL) -- Essen,,100,,,
448,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
449,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Anvers-Central,,103,,,
45,NMBS/SNCB,BUS,Jette -- Denderleeuw,,700,,,
450,NMBS/SNCB,IC,Anvers-Central -- Aarschot,,103,,,
451,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Hasselt,,103,,,
452,NMBS/SNCB,IC,Anvers-Central -- Tongres,,103,,,
453,NMBS/SNCB,IC,Hasselt -- Tongres,,103,,,
454,NMBS/SNCB,IC,Malines -- Louvain,,103,,,
455,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Louvain,,103,,,
456,NMBS/SNCB,L,Louvain -- Saint-Nicolas,,100,,,
457,NMBS/SNCB,L,Malines -- Saint-Nicolas,,100,,,
458,NMBS/SNCB,IC,Liège-Guillemins -- Bruges,,103,,,
459,NMBS/SNCB,IC,Liège-Guillemins -- Knokke,,103,,,
46,NMBS/SNCB,BUS,Londerzeel -- Termonde,,700,,,
460,NMBS/SNCB,IC,Bruxelles-Midi -- Louvain,,103,,,
461,NMBS/SNCB,IC,Louvain -- Knokke,,103,,,
462,NMBS/SNCB,IC,Landen -- Knokke,,103,,,
463,NMBS/SNCB,L,Anvers-Central -- Aarschot,,100,,,
464,NMBS/SNCB,L,Anvers-Central -- Hasselt,,100,,,
465,NMBS/SNCB,L,Anvers-Central -- Begijnendijk,,100,,,
466,NMBS/SNCB,S33,Anvers-Central -- Mol,,100,,,
467,NMBS/SNCB,IC,Gand-Saint-Pierre -- La Panne,,103,,,
468,NMBS/SNCB,IC,Anvers-Central -- La Panne,,103,,,
469,NMBS/SNCB,IC,Anvers-Berchem -- La Panne,,103,,,
47,NMBS/SNCB,BUS,La Panne -- Dixmude,,700,,,
470,NMBS/SNCB,S20,Ottignies -- Louvain,,100,,,
471,NMBS/SNCB,S20,Louvain -- Sint-Joris-Weert,,100,,,
472,NMBS/SNCB,IC,Bruxelles-Midi -- Anvers-Central,,103,,,
473,NMBS/SNCB,IC,Nivelles -- Anvers-Central,,103,,,
474,NMBS/SNCB,IC,Anvers-Central -- Binche,,103,,,
475,NMBS/SNCB,IC,Anvers-Berchem -- Charleroi-Central,,103,,,
476,NMBS/SNCB,IC,Bruxelles-Nord -- Nivelles,,103,,,
477,NMBS/SNCB,IC,Bruxelles-Nord -- Anvers-Central,,103,,,
478,NMBS/SNCB,IC,Tournai -- Termonde,,103,,,
479,NMBS/SNCB,IC,Mouscron -- Termonde,,103,,,
48,NMBS/SNCB,BUS,Bruxelles-Midi -- Gand-Saint-Pierre,,700,,,
480,NMBS/SNCB,IC,Termonde -- Courtrai,,103,,,
481,NMBS/SNCB,IC,Bruxelles-Midi -- Termonde,,103,,,
482,NMBS/SNCB,IC,Tournai -- Courtrai,,103,,,
483,NMBS/SNCB,IC,Ath -- Courtrai,,103,,,
484,NMBS/SNCB,IC,Ath -- Termonde,,103,,,
485,NMBS/SNCB,S9,Nivelles -- Landen,,100,,,
486,NMBS/SNCB,S9,Bruxelles-Luxembourg -- Landen,,100,,,
487,NMBS/SNCB,S9,Louvain -- Landen,,100,,,
488,NMBS/SNCB,S9,Nivelles -- Louvain,,100,,,
489,NMBS/SNCB,S9,Bruxelles-Luxembourg -- Louvain,,100,,,
49,NMBS/SNCB,BUS,Ternat -- Alost,,700,,,
490,NMBS/SNCB,S5,Malines -- Enghien,,100,,,
491,NMBS/SNCB,S5,Malines -- Grammont,,100,,,
492,NMBS/SNCB,S5,Hal -- Malines,,100,,,
493,NMBS/SNCB,S5,Malines -- Denderleeuw,,100,,,
494,NMBS/SNCB,S5,Bruxelles-Luxembourg -- Malines,,100,,,
495,NMBS/SNCB,S5,Schaerbeek -- Hal,,100,,,
496,NMBS/SNCB,S5,Bruxelles-Luxembourg -- Enghien,,100,,,
497,NMBS/SNCB,IC,Schaerbeek -- Binche,,103,,,
498,NMBS/SNCB,IC,Turnhout -- Binche,,103,,,
499,NMBS/SNCB,IC,Schaerbeek -- La Louvière-Centre,,103,,,
5,NMBS/SNCB,L,Maastricht (NL) -- Liège-Guillemins,,100,,,
50,NMBS/SNCB,BUS,Bruges -- Lichtervelde,,700,,,
500,NMBS/SNCB,IC,La Louvière-Sud -- Braine-le-Comte,,103,,,
501,NMBS/SNCB,IC,Binche -- Braine-le-Comte,,103,,,
502,NMBS/SNCB,IC,Hal -- Binche,,103,,,
503,NMBS/SNCB,IC,Turnhout -- La Louvière-Sud,,103,,,
504,NMBS/SNCB,IC,Schaerbeek -- La Louvière-Sud,,103,,,
505,NMBS/SNCB,IC,Lierre -- Binche,,103,,,
506,NMBS/SNCB,IC,Hal -- La Louvière-Sud,,103,,,
507,NMBS/SNCB,S7,Bruxelles-Luxembourg -- Malines,,100,,,
508,NMBS/SNCB,S7,Vilvorde -- Hal,,100,,,
509,NMBS/SNCB,S7,Vilvorde -- Grammont,,100,,,
51,NMBS/SNCB,BUS,Anvers-Berchem -- Puurs,,700,,,
510,NMBS/SNCB,IC,Bruxelles-Midi -- Genk,,103,,,
511,NMBS/SNCB,IC,Bruxelles-Nord -- Gand-Saint-Pierre,,103,,,
512,NMBS/SNCB,IC,Bruxelles-Nord -- La Panne,,103,,,
513,NMBS/SNCB,IC,Schaerbeek -- Gand-Saint-Pierre,,103,,,
514,NMBS/SNCB,IC,Schaerbeek -- Dixmude,,103,,,
515,NMBS/SNCB,IC,Bruxelles-Nord -- Lichtervelde,,103,,,
516,NMBS/SNCB,IC,Hasselt -- Gand-Saint-Pierre,,103,,,
517,NMBS/SNCB,IC,Bruxelles-Midi -- Gand-Saint-Pierre,,103,,,
518,NMBS/SNCB,IC,Gand-Saint-Pierre -- Alost,,103,,,
519,NMBS/SNCB,IC,Bruxelles-Nord -- Dixmude,,103,,,
52,NMBS/SNCB,BUS,Anvers-Central -- Noorderkempen (Brecht),,700,,,
520,NMBS/SNCB,IC,Louvain -- La Panne,,103,,,
521,NMBS/SNCB,IC,Louvain -- Dixmude,,103,,,
522,NMBS/SNCB,IC,Louvain -- Lichtervelde,,103,,,
523,NMBS/SNCB,S2,Louvain -- Braine-le-Comte,,100,,,
524,NMBS/SNCB,S2,Bruxelles-Nord -- Louvain,,100,,,
525,NMBS/SNCB,S2,Hal -- Louvain,,100,,,
526,NMBS/SNCB,S2,Schaerbeek -- Louvain,,100,,,
527,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Mons,,103,,,
528,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Quévy,,103,,,
529,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Soignies,,103,,,
53,NMBS/SNCB,BUS,Anvers-Central -- Mol,,700,,,
530,NMBS/SNCB,IC,Bruxelles-Midi -- Mons,,103,,,
531,NMBS/SNCB,S2,Bruxelles-Midi -- Louvain,,100,,,
532,NMBS/SNCB,S2,Schaerbeek -- Bruxelles-Midi,,100,,,
533,NMBS/SNCB,S2,Schaerbeek -- Braine-le-Comte,,100,,,
534,NMBS/SNCB,IC,Liège-Guillemins -- Mons,,103,,,
535,NMBS/SNCB,IC,Herstal -- Mons,,103,,,
536,NMBS/SNCB,IC,Huy -- Namur,,103,,,
537,NMBS/SNCB,IC,Liers -- Mons,,103,,,
538,NMBS/SNCB,IC,Liers -- La Louvière-Sud,,103,,,
539,NMBS/SNCB,IC,Liers -- Mouscron,,103,,,
54,NMBS/SNCB,BUS,Hasselt -- Tongres,,700,,,
540,NMBS/SNCB,IC,Liège-Guillemins -- Mouscron,,103,,,
541,NMBS/SNCB,IC,Huy -- Mons,,103,,,
542,NMBS/SNCB,IC,Tamines -- Mouscron,,103,,,
543,NMBS/SNCB,IC,Liers -- Blaton,,103,,,
544,NMBS/SNCB,IC,Namur -- Mons,,103,,,
545,NMBS/SNCB,IC,Tamines -- Mons,,103,,,
546,NMBS/SNCB,IC,Charleroi-Central -- Mons,,103,,,
547,NMBS/SNCB,IC,Namur -- Blaton,,103,,,
548,NMBS/SNCB,IC,Namur -- Mouscron,,103,,,
549,NMBS/SNCB,IC,Namur -- La Louvière-Sud,,103,,,
55,NMBS/SNCB,BUS,Hasselt -- Landen,,700,,,
550,NMBS/SNCB,IC,Charleroi-Central -- La Louvière-Sud,,103,,,
551,NMBS/SNCB,IC,Mons -- Blaton,,103,,,
552,NMBS/SNCB,IC,Charleroi-Central -- Mouscron,,103,,,
553,NMBS/SNCB,IC,Charleroi-Central -- Blaton,,103,,,
554,NMBS/SNCB,IC,Huy -- Charleroi-Central,,103,,,
555,NMBS/SNCB,IC,Namur -- Charleroi-Central,,103,,,
556,NMBS/SNCB,IC,Herstal -- La Louvière-Sud,,103,,,
557,NMBS/SNCB,IC,Liège-Guillemins -- Charleroi-Central,,103,,,
558,NMBS/SNCB,IC,Liers -- Charleroi-Central,,103,,,
559,NMBS/SNCB,IC,Herstal -- Charleroi-Central,,103,,,
56,NMBS/SNCB,BUS,Hasselt -- Genk,,700,,,
560,NMBS/SNCB,S10,Bruxelles-Midi -- Termonde,,100,,,
561,NMBS/SNCB,S64,Charleroi-Central -- Couvin,,100,,,
562,NMBS/SNCB,S64,Charleroi-Central -- Mariembourg,,100,,,
563,NMBS/SNCB,S64,Mariembourg -- Couvin,,100,,,
564,NMBS/SNCB,S8,Louvain-la-Neuve -- Bruxelles-Midi,,100,,,
565,NMBS/SNCB,S8,Louvain-la-Neuve -- Audenarde,,100,,,
566,NMBS/SNCB,S8,Bruxelles-Luxembourg -- Bruxelles-Midi,,100,,,
567,NMBS/SNCB,S8,Louvain-la-Neuve -- Zottegem,,100,,,
568,NMBS/SNCB,S8,Namur -- Zottegem,,100,,,
569,NMBS/SNCB,S8,Bruxelles-Midi -- Namur,,100,,,
57,NMBS/SNCB,BUS,Malines -- Louvain,,700,,,
